startDate,value,unit
2026-01-23 18:20:46 +0800,159,count/min
2026-01-23 18:20:49 +0800,153,count/min
2026-01-23 18:20:53 +0800,148,count/min
2026-01-23 18:20:58 +0800,141,count/min
2026-01-23 18:21:02 +0800,139,count/min
2026-01-23 18:21:09 +0800,154,count/min
2026-01-23 18:21:12 +0800,153,count/min
2026-01-23 18:21:21 +0800,169,count/min
2026-01-23 18:21:26 +0800,170,count/min
2026-01-23 18:21:30 +0800,170,count/min
2026-01-23 18:21:36 +0800,169,count/min
2026-01-23 18:21:47 +0800,170,count/min
2026-01-23 18:22:10 +0800,177,count/min
2026-01-23 18:22:15 +0800,176,count/min
2026-01-23 18:22:17 +0800,173,count/min
2026-01-23 18:22:31 +0800,170,count/min
2026-01-23 18:22:36 +0800,169,count/min
