%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 33805.650032240155, 10760.80033311848, 5498.75265345009, 21655.86759517999, 9404.921162715098, -11523.106577766726, 31266.04482722817, 30459.258611113863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654591585E9, 0.0, 2026-01-23 18:20:54.591
196.0, 33621.56106490625, 10609.210802222588, 5357.824904659379, 21579.625794842934, 9347.655993420602, -11568.033584121893, 31321.43244998842, 30550.945466869533, -58654.88900600541, -30164.148529070444, -135766.4404233027, -54715.72932192437, -554.2115037693386, 2097.442996197104, -72144.0773778054, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654591686E9, 0.0, 2026-01-23 18:20:54.591
198.0, 33785.868738397214, 10735.386399672794, 5476.423260739239, 21651.218432333284, 9405.43525283757, -11518.256249219925, 31274.784359310193, 30465.382989094614, -58603.85997341394, -30124.474182662274, -135733.76217290905, -54692.99759781332, -545.4943234317689, 2164.6993952631233, -72081.7160107751, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654591783E9, 0.0, 2026-01-23 18:20:54.591
200.0, 33708.3081851373, 10676.422497799695, 5419.113387955831, 21609.711242879777, 9368.577226230767, -11553.370839759213, 31298.901891577472, 30514.51212340738, -58456.941957109215, -30050.646370726394, -135675.15589894724, -54652.049201971204, -530.8986343024534, 2286.4493473111806, -71940.16241313964, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654591891E9, 0.0, 2026-01-23 18:20:54.591
202.0, 33666.48807126142, 10635.205881024109, 5382.434175304673, 21602.08929802052, 9369.04661286433, -11545.838301877773, 31312.111772550557, 30525.240960745927, -58744.608908249014, -30211.02013719322, -135805.44421737723, -54743.06550539321, -563.3086637626486, 2037.7638385014343, -72206.25993088007, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654591979E9, 0.0, 2026-01-23 18:20:54.591
204.0, 33815.104820144756, 10760.442705207195, 5497.903287160789, 21656.135816113452, 9405.301142370838, -11523.106577766726, 31268.056484229146, 30459.705646002967, -58427.34824745038, -30027.69112917079, -135656.64865453824, -54639.42046635395, -526.4059336669367, 2301.1120916738623, -71932.18284036909, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592069E9, 0.0, 2026-01-23 18:20:54.592
206.0, 33629.7865068658, 10611.490680157029, 5358.070773848388, 21580.22929194323, 9348.147731798617, -11567.988880632984, 31323.15353431148, 30550.90076338062, -58653.302032149084, -30163.83560464807, -135768.11680413687, -54716.93631612496, -554.2785590027046, 2120.353534263794, -72118.3728716818, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592156E9, 0.0, 2026-01-23 18:20:54.592
208.0, 33794.20593907904, 10737.17453922922, 5476.914999117255, 21652.023095133674, 9405.994046448952, -11518.323304453292, 31275.969001766327, 30465.427692583526, -58605.558705992546, -30126.307025707607, -135737.1372863218, -54695.478641447866, -546.2095792543387, 2150.5954445118246, -72100.33501390637, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592269E9, 0.0, 2026-01-23 18:20:54.592
210.0, 33715.21487417399, 10680.132887379275, 5420.521547856516, 21610.761774869177, 9369.515999497891, -11553.236729292481, 31300.175941011425, 30514.355661196194, -58456.20434954219, -30050.93694340431, -135677.07814897038, -54653.70323106089, -531.3009657026489, 2271.674844226223, -71959.67548604912, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592357E9, 0.0, 2026-01-23 18:20:54.592
212.0, 33671.33839980822, 10635.898785102223, 5381.629512504282, 21602.40222244289, 9369.42659252007, -11546.151226300148, 31314.570464440643, 30526.023271801863, -58745.41357104941, -30211.86950348252, -135808.08172322295, -54745.14421762755, -563.7109951628441, 2052.0689549528306, -72192.96064292916, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592449E9, 0.0, 2026-01-23 18:20:54.592
214.0, 33822.16797139263, 10761.627347663325, 5497.188031338219, 21657.186348102852, 9406.172860404595, -11522.368970199701, 31269.37523715201, 30459.50448030287, -58428.59994513988, -30028.36168150445, -135659.46497433961, -54641.365068121566, -526.7635615782216, 2293.534850303513, -71938.10605264975, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592543E9, 0.0, 2026-01-23 18:20:54.592
216.0, 33633.251027256374, 10610.14957548971, 5355.992061614044, 21580.475161132235, 9348.952394599008, -11567.586549232788, 31325.3440052681, 30551.817184903288, -58651.983279226224, -30163.992066859257, -135769.72612973765, -54718.456234747915, -554.747945636266, 2120.1747203081513, -72108.98513901058, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592663E9, 0.0, 2026-01-23 18:20:54.592
218.0, 33797.53634900288, 10734.559385127948, 5474.009272338066, 21652.067798622586, 9406.306970871326, -11518.144490497649, 31278.360638423044, 30466.567631550748, -58607.83858392699, -30127.82694433057, -135740.19947531217, -54697.87027810458, -546.6342623989896, 2159.5137905494917, -72074.09406591584, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592766E9, 0.0, 2026-01-23 18:20:54.592
220.0, 33720.19931318752, 10677.920064678201, 5418.487539111083, 21611.812306858577, 9370.43242102056, -11552.744990914463, 31302.008784056758, 30514.400364685105, -58455.51144546407, -30050.534612004118, -135678.75452980454, -54655.04433572821, -531.2786139581935, 2284.92942868822, -71933.12161363622, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592856E9, 0.0, 2026-01-23 18:20:54.592
222.0, 33668.90205966259, 10632.523671689472, 5377.9414746691555, 21601.888132320422, 9369.448944264524, -11545.950060600051, 31317.319729008643, 30527.766707869378, -58747.24641409474, -30213.41177384994, -135810.98745000214, -54746.97706067289, -564.1356783074949, 2050.236111907496, -72187.4397620487, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654592954E9, 0.0, 2026-01-23 18:20:54.592
